t;x;y
0.0000;2007;294
0.0400;1448;849
0.0800;600;1131
0.1200;262;940
0.1600;123;694
0.2000;89;508
0.2400;93;381
0.2800;102;269
0.3200;124;212
0.3600;121;160
0.4000;153;131
0.4400;202;104
0.4800;254;91
0.5200;343;71
0.5600;459;82
0.6000;609;89
0.6400;805;111
0.6800;983;165
0.7200;1095;260
0.7600;1065;416
0.8000;819;591
0.8400;547;680
0.8800;352;631
0.9200;267;533
0.9600;207;436
1.0000;230;349
1.0400;214;283
1.0800;208;240
1.1200;249;199
1.1600;294;189
1.2000;342;168
1.2400;447;150
1.2800;524;163
1.3200;637;180
1.3600;719;224
1.4000;776;300
1.4400;762;374
1.4800;707;440
1.5200;569;483
1.5600;463;485
1.6000;391;473
1.6400;328;416
1.6800;305;370
1.7200;302;320
1.7600;281;284
1.8000;332;253
1.8400;361;235
1.8800;421;222
1.9200;454;218
1.9600;531;221
2.0000;568;226
